n	L	model	dist	prop_openm	k	m	clusters	open_minded_cl	time_steps	froozen	min_diff
1000000	6.5	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	4.4014569766659406e-11
1000000	6.5	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	3.596245523596053e-11
1000000	6.6	prop	unif	0.3	0.9	0.0	700002	2	80	TRUE	1.2449596908936655e-11
1000000	6.6	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	3.7482017489764985e-11
1000000	6.6	prop	unif	0.5	0.9	0.0	500001	1	80	TRUE	3.262323744479545e-11
1000000	6.6	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	5.268718794582128e-11
1000000	6.6	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	2.1446844300498924e-11
1000000	6.7	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	1.1346701356274025e-11
1000000	6.7	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	2.965139245247883e-11
1000000	6.7	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	1.9835688647162897e-11
1000000	6.7	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	2.674482857401017e-11
1000000	6.7	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	1.2038015029247617e-10
1000000	6.8	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	5.9898752624576446e-12
1000000	6.8	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	1.443312136473196e-11
1000000	6.8	prop	unif	0.5	0.9	0.0	500002	2	80	FALSE	1.1171508162988175e-11
1000000	6.8	prop	unif	0.6	0.9	0.0	400001	1	80	FALSE	8.458123090804293e-12
1000000	6.8	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	4.800959629847057e-11
1000000	6.9	prop	unif	0.3	0.9	0.0	700002	2	80	TRUE	2.382183339477706e-11
1000000	6.9	prop	unif	0.4	0.9	0.0	600002	2	80	TRUE	8.969625042709595e-11
1000000	6.9	prop	unif	0.5	0.9	0.0	500001	1	80	FALSE	4.799627362217507e-11
1000000	6.9	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	1.220179512984032e-11
1000000	6.9	prop	unif	0.7	0.9	0.0	300001	1	80	FALSE	2.8057556278326956e-12
1000000	7.0	prop	unif	0.3	0.9	0.0	700001	1	80	TRUE	1.9519497129749652e-11
1000000	7.0	prop	unif	0.4	0.9	0.0	600001	1	80	TRUE	4.249489649055249e-12
1000000	7.0	prop	unif	0.5	0.9	0.0	500002	2	80	TRUE	2.277689148399986e-11
1000000	7.0	prop	unif	0.6	0.9	0.0	400002	2	80	FALSE	1.6068923969214666e-11
1000000	7.0	prop	unif	0.7	0.9	0.0	300002	2	80	FALSE	3.851141627819743e-12
